date Mon Dec 30 08:05:50.219 pm 2019
base hex  timestamps absolute
no internal events logged
// version 12.0.0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch9::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch9::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M6_Ch9::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch9::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch9::RelayOrgComponent = 0
   0.000000    SV: 2 0 1 ::VTS::M5_VT2516::RelaySwapBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M5_VT2516::RelayBusBarB = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch14::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M5_Ch14::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch14::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch14::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch14::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M5_Ch14::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch14::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch14::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch7::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M5_Ch7::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch7::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch7::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch7::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M5_Ch7::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch7::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch7::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch2::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M6_Ch2::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch2::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch2::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch2::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M6_Ch2::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch2::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch2::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch3::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M5_Ch3::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch3::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch3::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch3::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M5_Ch3::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch3::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch3::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch1::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M5_Ch1::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch1::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch1::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch1::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M5_Ch1::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch1::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch1::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch11::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M6_Ch11::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch11::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch11::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch11::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M6_Ch11::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch11::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch11::RelayOrgComponent = 0
   0.000000    SV: 2 0 1 ::VTS::M4_VT2004::RelaySwapBusBar2B = 0
   0.000000    SV: 2 0 1 ::VTS::M4_VT2004::RelaySwapBusBar2A = 0
   0.000000    SV: 2 0 1 ::VTS::M4_VT2004::RelaySwapBusBar1B = 0
   0.000000    SV: 2 0 1 ::VTS::M4_VT2004::RelaySwapBusBar1A = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::WFMin = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::WFOffset = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::WFTimeIncrement = 0.001
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::WFPause = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::PWMVoltageHigh = 5
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::PWMVoltageLow = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::PWMResistanceLow = 5000
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::PWMDC = 50
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::PWMFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M4_Ch4::RelayBusBar2B = 0
   0.000000    SV: 2 0 1 ::VTS::M4_Ch4::RelayBusBar2A = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::PWMResistanceHigh = 10000
   0.000000    SV: 2 0 1 ::VTS::M4_Ch4::RelayBusBar1B = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::WFMax = 27
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::WFFactor = 1
   0.000000    SV: 2 0 1 ::VTS::M4_Ch4::RelayBusBar1A = 0
   0.000000    SV: 2 0 1 ::VTS::M4_Ch4::RelayShortCircuit = 0
   0.000000    SV: 2 0 1 ::VTS::M4_Ch4::RelayOrgSensor = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::Voltage = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch4::Resistor = 10000
   0.000000    SV: 1 0 1 ::VTS::M5_Ch16::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M5_Ch16::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch16::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch16::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M5_Ch16::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M5_Ch16::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch16::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M5_Ch16::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::WFMin = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::WFOffset = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::WFTimeIncrement = 0.001
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::WFPause = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::PWMVoltageHigh = 5
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::PWMVoltageLow = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::PWMResistanceLow = 5000
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::PWMDC = 50
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::PWMFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M4_Ch3::RelayBusBar2B = 0
   0.000000    SV: 2 0 1 ::VTS::M4_Ch3::RelayBusBar2A = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::PWMResistanceHigh = 10000
   0.000000    SV: 2 0 1 ::VTS::M4_Ch3::RelayBusBar1B = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::WFMax = 27
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::WFFactor = 1
   0.000000    SV: 2 0 1 ::VTS::M4_Ch3::RelayBusBar1A = 0
   0.000000    SV: 2 0 1 ::VTS::M4_Ch3::RelayShortCircuit = 0
   0.000000    SV: 2 0 1 ::VTS::M4_Ch3::RelayOrgSensor = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::Voltage = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch3::Resistor = 10000
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::WFMin = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::WFOffset = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::WFTimeIncrement = 0.001
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::WFPause = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::PWMVoltageHigh = 5
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::PWMVoltageLow = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::PWMResistanceLow = 5000
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::PWMDC = 50
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::PWMFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M4_Ch2::RelayBusBar2B = 0
   0.000000    SV: 2 0 1 ::VTS::M4_Ch2::RelayBusBar2A = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::PWMResistanceHigh = 10000
   0.000000    SV: 2 0 1 ::VTS::M4_Ch2::RelayBusBar1B = 0
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::WFMax = 27
   0.000000    SV: 1 0 1 ::VTS::M4_Ch2::WFFactor = 1
   0.000000    SV: 2 0 1 ::VTS::M4_Ch2::RelayBusBar1A = 0
